bloc,hassaniya_ar,hassaniya_norm,pulaar,english,sentiment,nuance
ethno_realigne,ومهمتهم الوحيد هي لگعاد في اديار، وعمل المنزل، وشد لخبار، واسواق.,ومهمتهم الوحيد هي لگعاد في اديار، وعمل المنزل، وشد لخبار، واسواق.,"Golle maɓɓe tan ɗe ngonnoo ko jooɗaade e galle, gollaade golle suudu, yeewtude e yahde luumooji.","Their only role had been to stay home, do housework, chat and go to the markets.",neutre,non
ethno_realigne,إلين اطرات هذ العقليات اجديد وخلگت السياسة لحزاب والانتخابات، عرف لعليات انهم من واجبهم إشارك في بناي الدولة والمجتمع وإگوم بدورهم.,الين اطرات هذ العقليات اجديد وخلگت السياسه لحزاب والانتخابات، عرف لعليات انهم من واجبهم اشارك في بناي الدوله والمجتمع واگوم بدورهم.,"Nde ɗii miijooji kesi peeɲi e politigi leɓɓi e woote ɓilti, rewɓe paami ko ɗum woni waɗɗii ɓe: jeyeede e mahde leydi e renndo e huutoraade geɗal mum en.","When these new mindsets appeared and party politics and elections arose, women realized it was their duty to take part in building the state and society and to play their role.",positif,non
ethno_realigne,عاد إگوم من لگعاد ويشتغل، وعدت اتشوف لمر تعمل امع الرجال في بيروهات، واتشارك في لنتخابات، وتلعب دور اكبير في توعيت المجتمع، واترقات لمر.,عاد اگوم من لگعاد ويشتغل، وعدت اتشوف لمر تعمل امع الرجال في بيروهات، واتشارك في لنتخابات، وتلعب دور اكبير في توعيت المجتمع، واترقات لمر.,"Ɓe ummii e weddaade ɓe njahi golle; jooni a yiyat rewɓe ina ngolla e worɓe e biiro-ji, ina njeyaa e woote, ina ngolla ko mawni e finndinde renndo, rewɓe ɓamtii.","So they rose from idleness and went to work; you now see women working alongside men in offices, taking part in elections, and playing a major role in raising society's awareness, and women advanced.",positif,non
ethno_realigne,وعاد لعليات عندهم التعاونيات والمؤسسات، ويشتغل في كل الميادين، ولا اتلاو تاكلين اعلي الرجال.,وعاد لعليات عندهم التعاونيات والمؤسسات، ويشتغل في كل الميادين، ولا اتلاو تاكلين اعلي الرجال.,"Jooni rewɓe ina mari koppraatiiwaaji e duɗe, ina ngolla e banɗe fof, ɓe ngalaa kadi tiiɗnaare e worɓe.","Now women have cooperatives and institutions and work in every field, and are no longer dependent on men.",positif,non
ethno_realigne,بيهم ال: <<لجرب ما إحكل ماه كف>> و<<ال ماه في كرشك لا تعمل اعليه>>.,بيهم ال: <<لجرب ما احكل ماه كف>> و<<ال ماه في كرشك لا تعمل اعليه>>.,"Wano ñaawooje wiyirta: 'Ñawɗo o wonaa donngal hoyngal,' e 'Wata fawo e ko alaa e reedu maa.'","As the proverbs go: 'The scabby one (idle person) is no easy load,' and 'Do not count on what is not in your own belly.'",neutre,non
ethno_realigne,أطفال السينما والفيديو في انواكشوط.,اطفال السينما والفيديو في انواكشوط.,Sukaaɓe sinemaa e widewoo e Nuwaasoot.,The cinema and video kids of Nouakchott.,neutre,non
ethno_realigne,خالگ ياسر من تركت انواكشوط ما عند من الشغل يكون سينما، ولا يلهيه يكون شد اخبار آكتيرات الهند وكبيات العالم لوخر ال شوف في افلام سينما وفيديو.,خالگ ياسر من تركت انواكشوط ما عند من الشغل يكون سينما، ولا يلهيه يكون شد اخبار اكتيرات الهند وكبيات العالم لوخر ال شوف في افلام سينما وفيديو.,"Sukaaɓe Nuwaasoot heewɓe ngalaa golle so wonaa sinemaa, ɗum tan soklata ɓe ko jokkude rewɓe pijooɓe Hindi e koode aduna goɗɗe ɗe ɓe njiyata e filmaaji sinemaa e widewoo.","Many of Nouakchott's children have no work except the cinema, and nothing occupies them but following Indian actresses and other world stars they see in cinema and video films.",neutre,non
ethno_realigne,هذا النوع من الترك ما اتل عند اخلاق ولا اتل كيفت الترك لخرين ال امربيينهم اهلهم تربي صالح.,هذا النوع من الترك ما اتل عند اخلاق ولا اتل كيفت الترك لخرين ال امربيينهم اهلهم تربي صالح.,"Ndee sifa suka alaa jikku, o nanaa wano sukaaɓe goɗɓe ɓe ɓesnguuji mum en ne'i no moƴƴi.",This kind of child has no manners and is unlike other children whose families raised them well.,negatif,non
ethno_realigne,الباسهم الا الباس كبيات واكلامهم الا اكلام الهند، والواحد منهم لابدال من الفظ يدخل بيها سينما، وإلين ما اراها يمشي يصرگ.,الباسهم الا الباس كبيات واكلامهم الا اكلام الهند، والواحد منهم لابدال من الفظ يدخل بيها سينما، والين ما اراها يمشي يصرگ.,"Comci mum en ko nanndinde koode, haala mum en ko ñemmbude filmaaji Hindi; gooto kala ina foti heɓde kaalis o naata sinemaa, so o heɓaani o yaha o wuyga.","Their clothes mimic the stars and their talk imitates Indian films; each must have money to get into the cinema, and if he has none he goes and steals.",negatif,non
ethno_realigne,وإبط الترك لخرين ويگلع منهم فظتهم، وعاد گاع يدايگ الا بلماس ويتعطب.,وابط الترك لخرين ويگلع منهم فظتهم، وعاد گاع يدايگ الا بلماس ويتعطب.,"O fiya sukaaɓe goɗɓe o teeta kaalis mum en, o gasa ko haɓdude tan e ɓoggi o fiyee.","He beats up the other kids and takes their money, and he ends up quarreling only with his fists and getting battered.",negatif,non
ethno_realigne,وإلين ما يگلب برامج سينما إدور الترك يرباو اعلي الخز ويكبر اعليه.,والين ما يگلب برامج سينما ادور الترك يرباو اعلي الخز ويكبر اعليه.,"So o ndaaraani sinemaa, o addana sukaaɓe waɗde pari, o nafora ɓe.","And when he is not watching cinema, he gets the children to gamble and exploits them.",negatif,non
ethno_realigne,خالك مثل إكول: <<الشوكة من سقرتها امحدة>>، معناه ان <<أخبر آل ارعاها اگبل ما راها>>.,خالك مثل اكول: <<الشوكه من سقرتها امحده>>، معناه ان <<اخبر ال ارعاها اگبل ما راها>>.,"Ñaawoore woodi: 'Giƴal ina welƴi gila ngal famɗi,' firti ko o anndi jikku mum ado o yiyde mo.","There is a proverb: 'The thorn is sharp from when it is young,' meaning he knew its nature before he ever saw it.",neutre,non
ethno_realigne,انواكشوط تستقبل خوان كرلوس واعيال.,انواكشوط تستقبل خوان كرلوس واعيال.,Nuwaasoot jaɓɓii Juan Carlos e ɓesngu mum.,Nouakchott welcomes Juan Carlos and family.,neutre,non
ethno_realigne,منهم لابس دراعتين وحد خظر ولخر بيظ، ولاو حول من النيل ومتحزم وفيد دبوس وحاكم اخزامت جمل.,منهم لابس دراعتين وحد خظر ولخر بيظ، ولاو حول من النيل ومتحزم وفيد دبوس وحاكم اخزامت جمل.,"E maɓɓe, gooto kala ɓoorii mbubbaaji ɗiɗi, ngootu haako ngootu daneru, e wutte nila, e taggorgal, e kaafa e junngo, o nanngi ɗaɗol ngeelooba.","Among them, each wore two boubous, one green and one white, plus an indigo wrap, a belt, a sword in hand, and held a camel's nose-rein.",neutre,non
ethno_realigne,امجي مليك اسبان واعيال، إلين عادت الساعة الخامسة وخمس واربعين في الدحميس نزلت الطائرة في مطار انواكشوط.,امجي مليك اسبان واعيال، الين عادت الساعه الخامسه وخمس واربعين في الدحميس نزلت الطائره في مطار انواكشوط.,"Laamɗo Espaañ e ɓesngu mum ngari; e waktu njoyaɓo e hojomaaji 45 kikiiɗe, ndiwoowa ndee tellii e aweyo Nuwaasoot.",The King of Spain and his family arrived; at 5:45 in the afternoon the plane landed at Nouakchott airport.,neutre,non
ethno_realigne,ونگز المليك واعيال، واستقبلهم رئيس الدولة واعيال واعضاء الحكومة والبعثات الدبلوماسية.,ونگز المليك واعيال، واستقبلهم رئيس الدوله واعيال واعضاء الحكومه والبعثات الدبلوماسيه.,"Laamɗo o e ɓesngu mum njippii, ɓe njaɓɓaa hooreejo leydi e ɓesngu mum, terɗe laamu e diplomaatiyankooɓe.","The King and his family disembarked and were received by the head of state and his family, the government members and the diplomatic missions.",neutre,non
ethno_realigne,كان اول شي استقبلوهم بيه هو اثلاثين اعمار انخبطت بالمدافع الثقيلة، وركب الوتات.,كان اول شي استقبلوهم بيه هو اثلاثين اعمار انخبطت بالمدافع الثقيله، وركب الوتات.,"Ko adii ko ɓe njaɓɓoraa ko fellannde capanɗe-tati nde kareeli teddɗi mbaɗi, refti ɓe njolii e otooji.","The first thing with which they were received was a thirty-gun salute fired by heavy artillery, then they got into the cars.",neutre,non
ethno_realigne,وكان الشارع بين المطار وقصر الرئاسة احواشيه املانين من الناس ال اتزغرت وترگص وتخبط اطبول واتحي الملك واعيال.,وكان الشارع بين المطار وقصر الرئاسه احواشيه املانين من الناس ال اتزغرت وترگص وتخبط اطبول واتحي الملك واعيال.,"Laawol hakkunde aweyo e galle hooreejo leydi ngol heewii yimɓe ɓe njuuraynoo, ngamii, piyi tabalde, ɓe njettini Laamɗo o e ɓesngu mum.","The road between the airport and the presidential palace was lined with people who ululated, danced, beat drums and hailed the King and his family.",positif,non
ethno,ما هم كيفت ذ لخرين ال الا لحمار وانساو المثل,ما هم كيفت ذ لخرين ال الا لحمار وانساو المثل,,"The finest sight was a great line of men mounted on camels, about five hundred riders wearing the old Mauritanian dress.",positif,non
ethno,إل إكول : <<أل لم شي يفصل فيه>>.,ال اكول : <<ال لم شي يفصل فيه>>.,,"At night a grand reception was held at the presidential palace, full of modern and traditional song and dance.",positif,non
ethno,مندر  يكان  لمر  هي  ال اتبذر  وال  الراجل,مندر يكان لمر هي ال اتبذر وال الراجل,,Truly the reception was splendid; they did not skimp on anything they knew of.,positif,non
ethno,الرجال دائما إلوم لعليات وإگولونهم الا هم ال,الرجال دائما الوم لعليات واگولونهم الا هم ال,,"Proverb: 'He who gives what he has cannot be called stingy,' meaning whatever was done, it was not for lack of will, only of means.",neutre,non
ethno,إخصر الفظ عند لعياد و المناسبات بيهن لمر,اخصر الفظ عند لعياد و المناسبات بيهن لمر,,The municipal campaign.,neutre,non
ethno,لابدالها من املاحف زينات تلبسهم و ياسر من آلات,لابدالها من املاحف زينات تلبسهم و ياسر من الات,,"The date-harvest season (guetna) is an important time for people living in the big towns and for the nomads in the countryside, a time of rest.",positif,non
ethno,لحفول والبدلات ولرساق من اذهب وگيسان صالوهات,لحفول والبدلات ولرساق من اذهب وگيسان صالوهات,,"Town-dwellers rest from the town's atmosphere and its hardships, and the nomads rest from moving from place to place.",neutre,non
ethno,الحن وتختير اتعدل شي ما عدلوه اصحباتها لياك,الحن وتختير اتعدل شي ما عدلوه اصحباتها لياك,,"They all gather in the valleys that usually have palm groves, in Tagant and Adrar.",neutre,non
ethno,تتفخر اعليهم بيه و هذا هو ال عدل الرجال دائما,تتفخر اعليهم بيه و هذا هو ال عدل الرجال دائما,,"Those who come for the harvest are not all the same: some own palms, and some are just visiting people they know who own palms.",neutre,non
ethno,امعدلين ان لعليات الا هم ال إبذر الفظ .,امعدلين ان لعليات الا هم ال ابذر الفظ .,,"The season has two stages: the green stage, when the dates are still green and bland, which people eat and call wholesome.",neutre,non
ethno,لعليات هم لخرين امواسيات ان الرجال أخصر منهم,لعليات هم لخرين امواسيات ان الرجال اخصر منهم,,"The second stage, when the dates turn yellow and red, and people keep picking until they ripen and the whole crop is harvested and packed into sacks.",neutre,non
ethno,بيهم ال لابدالهم من ادراريع الزينات ال صوگ وحد,بيهم ال لابدالهم من ادراريع الزينات ال صوگ وحد,,Then each takes his share and returns to the place from which the harvesters came.,neutre,non
ethno,منهم يشري عشر املاحف ، وتات اتويوتا ونيسان ال,منهم يشري عشر املاحف ، وتات اتويوتا ونيسان ال,,"Saying: 'Whatever comes (with profit), it has come and conquered.'",neutre,non
ethno,لابدالهم من الملايين .,لابدالهم من الملايين .,,This market is among the largest in the capital; when you go you would think all of Nouakchott's residents are crammed into it.,neutre,non
ethno,وعاد الا كلهم إشگر على لوخر التبذير وهو ابذر,وعاد الا كلهم اشگر علي لوخر التبذير وهو ابذر,,"You are struck by so many people, so much merchandise, and the way these people work, to whom nothing is a problem, even selling without money.",neutre,non
ethno,من وانساو المثل : << ال شگر شي إدير شي افبل >>.,من وانساو المثل : << ال شگر شي ادير شي افبل >>.,,"They buy and sell new and used goods and rent out shops; all of them sit and sell, or stand and sell, or barter.",neutre,non
ethno,انواكشوط  سكان  ومساكن,انواكشوط سكان ومساكن,,"Saying: 'Whatever comes, it has come and conquered.'",neutre,non
ethno,من الل سنين و خاصة من السبعينات گلت اسحاب,من الل سنين و خاصه من السبعينات گلت اسحاب,,Free (informal) work in Nouakchott.,neutre,non
ethno,و جدبت الارض و گل اربيع و لحشيش ومات اصدر,و جدبت الارض و گل اربيع و لحشيش ومات اصدر,,Proverb: 'He who keeps lying should keep his witnesses far away.',neutre,non
ethno,والحيوانات.,والحيوانات.,,There is a class of young men in Nouakchott called the 'haraga' or the liars; one of them spends the whole day lounging in salons and public places.,negatif,non
ethno,عادت الناس فرظ اعليها تمشي من الباديه ال,عادت الناس فرظ اعليها تمشي من الباديه ال,,"When he gets going you cannot tell; he claims he is everything, knows everything, has everything, and that no one in the world is like him.",negatif,non
ethno,كانت ساكن فيها شور اتشور يكانها اتگد اتعيش,كانت ساكن فيها شور اتشور يكانها اتگد اتعيش,,In reality what he tells has no basis and exists only in his wide imagination.,negatif,non
ethno,عادت الناس فَرَظاً اعليها تَمشي من الباديه ال,عادت الناس فرظا اعليها تمشي من الباديه ال,,"These people cannot realize their dreams, so they realize them in fantasy, and unable to make up for their shortcomings, they make up for them in fantasy.",negatif,non
ethno,دفعت الناس كامل شور انواكشوط واصبح انوااكشوط,دفعت الناس كامل شور انواكشوط واصبح انوااكشوط,,"And they try by every means to enter society, especially people who never knew them, which is why the liar keeps his witnesses far away.",negatif,non
ethno,ا لا جماع انگار ؛ فيه الناس كامل بكل انواعها ؛,ا لا جماع انگار ؛ فيه الناس كامل بكل انواعها ؛,,"Before long it becomes clear to them that lies may travel but never bring in a harvest, and a lie cannot stand.",negatif,non
ethno,اهل البادية ،اهل اتشور والحراثة .,اهل الباديه ،اهل اتشور والحراثه .,,And the people lied to only end up exposing the lies and stop listening to them.,negatif,non
ethno,كل حد من الناس جات كان لا بدال من مسكن,كل حد من الناس جات كان لا بدال من مسكن,,Proverb: 'He who talks too much is exposed.',neutre,non
ethno,و اتشاش من اتراب و هاذ هو سبب وجود الكبات,و اتشاش من اتراب و هاذ هو سبب وجود الكبات,,The young men and the broke in Nouakchott have become like the crow's imitation of someone else's gait.,negatif,non
ethno,و الگزرات اعلى احواشي الدشر .الكبة عبارة :,و الگزرات اعلي احواشي الدشر .الكبه عباره :,,"He tries to copy their swagger and cannot, loses even his own gait, and ends up just hiding himself.",negatif,non
ethno,عن الكثير من المساكن المبني من اجلف و متگارب,عن الكثير من المساكن المبني من اجلف و متگارب,,"There has also appeared among them a sort called 'disco girls' and 'jeans boys' whose only concern is to look Arab or American, abandoning their families' customs and natures.",negatif,non
ethno,و لاه مخط ، و الگزر عادة الا من لمبارات,و لاه مخط ، و الگزر عاده الا من لمبارات,,"And they try by every means to adopt the Westerners' lifestyle, and to them even a sound deal is 'to escape from one who neither gives nor takes anything.'",negatif,non
ethno,المترا كبة و البرگة واديار ،,المترا كبه و البرگه واديار ،,,The disco girls always carry around big handbags full of makeup.,neutre,non
ethno,تجبر لخيام في ادبار الزينات و في لمبارات,تجبر لخيام في ادبار الزينات و في لمبارات,,They wear high-heeled shoes and go into the homes of their 'jeans boy' friends and dance with them.,neutre,non
ethno,و الساحات و تجبر الحيوانات عند اهل القصر واهل,و الساحات و تجبر الحيوانات عند اهل القصر واهل,,"Many people call them prostitutes, though they are not all prostitutes.",negatif,non
ethno,المترا كبة و البركَة وادبيار ،,المترا كبه و البركه وادبيار ،,,But as the proverb says: 'A young camel kept with a donkey learns to bray.',neutre,non
ethno,لعليات  في انواكشوط والعمل الخاص,لعليات في انواكشوط والعمل الخاص,,"The 'jeans boys' are youths always sharply dressed, riding motorbikes, with jewelry on their hands, and dancing.",neutre,non
ethno,امن الثمانيات اعلى إلاه اطرات عقليات اجديد في المجتمع,امن الثمانيات اعلي الاه اطرات عقليات اجديد في المجتمع,,"They groom themselves in a particular way, many of them steal, and people have come to call them 'bandits.'",neutre,non
ethno,الموريتاني ، و خاصة في لعليات آل كان ما يشتغل؛ و مهمتهم,الموريتاني ، و خاصه في لعليات ال كان ما يشتغل؛ و مهمتهم,,As the proverb goes: 'He whom the snake has bitten is frightened by a rope.',neutre,non
ethno,الوحيد هي لگعاد في اديار ، وعمل المنزل، وشد لخبار ، و,الوحيد هي لگعاد في اديار ، وعمل المنزل، وشد لخبار ، و,,Street talk in Nouakchott.,positif,non
ethno,اسواق ؛ إلين اطرات هذ العقليات اجديد وخلگت السياسة,اسواق ؛ الين اطرات هذ العقليات اجديد وخلگت السياسه,,People in Nouakchott always trade truth and lies; every day you hear new rumors.,positif,non
ethno,لحزاب والانتخابات . عرف لعليات انهم من واجبهم إشارك,لحزاب والانتخابات . عرف لعليات انهم من واجبهم اشارك,,"Each has his own way of passing on news, which is why the story differs from one person to another.",positif,non
ethno,في بناي الدولة و المجتمع وإگوم بدورهم . عاد إگوم من,في بناي الدوله و المجتمع واگوم بدورهم . عاد اگوم من,,"In any case the proverb says: 'A thing without foundation cannot stand,' meaning what they spread is made up.",neutre,non
ethno,لگعاد ويشتغل ، وعدت اتشوف لمر تعمل امع الرجال في,لگعاد ويشتغل ، وعدت اتشوف لمر تعمل امع الرجال في,,"A halt, and a woman brought back from Saudi Arabia.",neutre,non
ethno,بيروهات، واتشارك في لنتخابات ، و تلعب دور اكبير في,بيروهات، واتشارك في لنتخابات ، و تلعب دور اكبير في,,"These days people are talking only of the news of a man who sold a woman to a man from Saudi Arabia, took her and delivered her to him.",neutre,non
ethno,توعيت المجتمع، واترقات لمر ، وعاد لعليات عندهم,توعيت المجتمع، واترقات لمر ، وعاد لعليات عندهم,,"In the end the case came to light, it was halted, and the woman was brought back from Saudi Arabia.",negatif,non
ethno,التعاونيات والمؤسسات ، ويشتغل في كل الميادين . ولا,التعاونيات والمؤسسات ، ويشتغل في كل الميادين . ولا,,With this sort of rumor no one can tell lie from truth; it is like 'the fortune-telling we neither believed nor denied.',negatif,non
ethno,اتلاو تاكلين اعلي الرجال ، بيهم ال :<< لجرب ما إحكل,اتلاو تاكلين اعلي الرجال ، بيهم ال :<< لجرب ما احكل,,"Those who spread street rumors are simply people of that nature, with no real stake in it.",negatif,non
ethno,ماه كف >> و <<ال ماه في كرشك لا تعمل اعليه >>,ماه كف >> و <<ال ماه في كرشك لا تعمل اعليه >>,,"And the proverb says: 'A man dies as he lived, and it is said he is raised likewise.'",negatif,non
ethno,أطفال السينما والفيديو في انواكشوط,اطفال السينما والفيديو في انواكشوط,,How the people of Nouakchott welcomed the breaking of the fast (Eid al-Fitr).,neutre,non
ethno,خالگ ياسر من تركت انواكشوط ما عند من الشغل يكون سينما,خالگ ياسر من تركت انواكشوط ما عند من الشغل يكون سينما,,"It was the day after Ramadan, and everyone, men, women and children, in the countryside, the desert and the towns, was getting ready for the great day, and everything was prepared.",neutre,non
ethno,ولا يلهيه يكون شد اخبار آكتيرات الهند وكبيات العالم لوخر,ولا يلهيه يكون شد اخبار اكتيرات الهند وكبيات العالم لوخر,,"People stayed up listening to the radio until 2 a.m., when the committee for moon-sighting took its decision and confirmed the sighting.",neutre,non
ethno,ال شوف في افلام سينما وفيديو .,ال شوف في افلام سينما وفيديو .,,"By daybreak the roads were filled with people and there was incredible bustle and activity; everyone was joyful, laughing and merry.",neutre,non
ethno,هذا النوع من الترك ما اتل عند اخلاق ولا اتل كيفت الترك لخرين,هذا النوع من الترك ما اتل عند اخلاق ولا اتل كيفت الترك لخرين,,This is natural: most people had been fasting and rightly had reason to rejoice at breaking the fast.,neutre,non
ethno,ال امربيينهم اهلهم تربي صالح ، الباسهم الا الباس كبيات,ال امربيينهم اهلهم تربي صالح ، الباسهم الا الباس كبيات,,"Some are glad because they love noise and music, some are glad to wear new clothes, and some only because they will eat good food.",neutre,non
ethno,واكلامهم الا اكلام الهند والواحد منهم لابدال من الفظ  يدخل,واكلامهم الا اكلام الهند والواحد منهم لابدال من الفظ يدخل,,"Everyone was looking forward to the festival, but as the proverb says: 'He whose hour has not yet come does not worry.'",positif,non
ethno,بيها سينما وإلين ما اراها يمشي يصرگ وإبط الترك لخرين,بيها سينما والين ما اراها يمشي يصرگ وابط الترك لخرين,,Divorce (abandonment) in Mauritanian society.,positif,non
ethno,ويگلع منهم فظتهم و عاد گاع يدايگ الا بلماس ويتعطب,ويگلع منهم فظتهم و عاد گاع يدايگ الا بلماس ويتعطب,,Men and women in Mauritania who have never divorced can be counted on one's fingers.,neutre,non
ethno,و إلين ما يگلب برامج سينما إدور الترك يرباو اعلي الخز,و الين ما يگلب برامج سينما ادور الترك يرباو اعلي الخز,,"For that reason divorce has become ordinary; people say 'as long as you love each other, every man for himself,' and 'let what is gone not return.'",positif,non
ethno,و يكبر اعليه خالك مثل إكول : <<الشوكة من سقرتها امحدة >>,و يكبر اعليه خالك مثل اكول : <<الشوكه من سقرتها امحده >>,,"But none of this is right; divorce does no good and cannot be condoned, for its consequences are dire for men, women and the children left behind.",positif,non
ethno,معناه ان << أخبر آل ارعاها اگبل ما راها >>.,معناه ان << اخبر ال ارعاها اگبل ما راها >>.,,And in the end it is disastrous for society and the state. 'Nothing is set right except what is first ruined.',neutre,non
ethno,انواكشوط تستقبل خوان كرلوس و اعيال,انواكشوط تستقبل خوان كرلوس و اعيال,,"Many people know that divorce is disastrous and gains nothing, but circumstances force it on them. 'What is forced on you, just put up with it.'",neutre,non
ethno,منهم لاَبس دراعتَيْن وحد خُظَر ولَخْر بِيظ وَلاَو,منهم لابس دراعتين وحد خظر ولخر بيظ ولاو,,"Among the causes of frequent divorce in Mauritania: marriages are made without thought; a man sees a woman one day, goes to propose and marries her, knowing nothing about her or her family.",positif,non
ethno,حول من النيل و متحزّم وفِيد دبُوس وحاكم اخْزامت جمل .,حول من النيل و متحزم وفيد دبوس وحاكم اخزامت جمل .,,"He does not think about their future life together; once married, each finds in the other things he did not expect, problems arise between them, and the only solution becomes divorce.",neutre,non
ethno,امجي مليك اسبان واعيال، إلين عادت الساعة الخامسة و خمس و,امجي مليك اسبان واعيال، الين عادت الساعه الخامسه و خمس و,,Private enterprise in Nouakchott.,neutre,non
ethno,أربعين في الدحميس نزلت الطائرة في مطار انواكشوط ، ونگز,اربعين في الدحميس نزلت الطائره في مطار انواكشوط ، ونگز,,"Ever since democracy arrived and the government launched a liberal program, private enterprise has grown day by day.",neutre,non
ethno,المليك واعيال و استقبلهم رئيس الدولة واعيال واعضاء الحكومة,المليك واعيال و استقبلهم رئيس الدوله واعيال واعضاء الحكومه,,"Private schools, hospitals and businesses multiplied; now everyone has their own work and the government no longer monopolizes things.",neutre,non
ethno,والبعثات الدبلوماسية كان اول شي استقبلوهم بيه هو اثلاثين,والبعثات الدبلوماسيه كان اول شي استقبلوهم بيه هو اثلاثين,,"Now each works according to his ability, and most people have taken up this kind of work.",neutre,non
ethno,اعمار انخبطت بالمدافع الثقيلة وركب الوتات ، وكان الشارع,اعمار انخبطت بالمدافع الثقيله وركب الوتات ، وكان الشارع,,"Proverb: 'Whoever comes to learn to swim, may he drown (sink or swim).'",neutre,non
ethno,بين المطار وقصر الرئاسة احواشيه املانين من الناس ال اتزغرت,بين المطار وقصر الرئاسه احواشيه املانين من الناس ال اتزغرت,,Nouakchott and commerce.,neutre,non
ethno,وترگص وتخبط اطبول واتحي الملك واعيال.,وترگص وتخبط اطبول واتحي الملك واعيال.,,"The proverb says: 'When the head grows two eyes, it falls off (things get out of hand).'",neutre,non
ethno,ازين مشهد كان هو صف اكبير من الرجال ال راكبين البل وعددهم,ازين مشهد كان هو صف اكبير من الرجال ال راكبين البل وعددهم,,"This proverb fits Nouakchott, which has become all shops: in every house a shop, in every district a market, in every street many shops and stalls, and in every tent a male or female trader.",neutre,non
ethno,حوالي خمس مئة ابجاوي لابسين الباس الموريتانيين القديم كل واحد,حوالي خمس مئه ابجاوي لابسين الباس الموريتانيين القديم كل واحد,,"This means most people have become traders, and Nouakchott has become all shops and is falling apart, just like the head that grew two eyes.",neutre,non
ethno,منهم لابس دراعتين وحد خظر ولخر بيظ ولاو,منهم لابس دراعتين وحد خظر ولخر بيظ ولاو,,One feature of commerce in Nouakchott is that a trader does not deal in just one type of trade.,neutre,non
ethno,حول من النيل و متحزم وفيد دبوس وحاكم اخزامت جمل .,حول من النيل و متحزم وفيد دبوس وحاكم اخزامت جمل .,,"You find a trader selling medicine in his shop along with clothes, foodstuffs, household goods, hardware, car parts and everything.",neutre,non
ethno,في اليل  أعدل حفل اكبير في قصر الرئاسة اخلگ فيه ياسر من,في اليل اعدل حفل اكبير في قصر الرئاسه اخلگ فيه ياسر من,,"And in addition he may be a shopkeeper, a cook, or a mechanic.",neutre,non
ethno,لغن وارگيص الحديث والتقليدي في الحقيقة كان الاستقبال رايع,لغن وارگيص الحديث والتقليدي في الحقيقه كان الاستقبال رايع,,"A second visible feature is called 'tebtib' (barter): people buy and sell not with money but with goods, and the merchandise need not be new.",neutre,non
ethno,ولا بخلوه يكون شي ما يعرفوه و <<ال اعطي ال فيد ما يسم بخيل >>,ولا بخلوه يكون شي ما يعرفوه و <<ال اعطي ال فيد ما يسم بخيل >>,,The village of Eghlembit.,neutre,non
ethno,معناه ان شي ما اعدل,معناه ان شي ما اعدل,,"Eghlembit is a small village 70 km southwest of Tidjikja, the capital of Tagant.",neutre,non
ethno,<<ماه كره يغير اتعسريه >>.,<<ماه كره يغير اتعسريه >>.,,"It is bordered to the east by Enbat, to the north by Sahel, to the south by Gleb Ghachgouguit, and to the west by Gleb Egrafiv.",neutre,non
ethno,حملَتِ البَلديَهِ,حملت البلديه,,"As for its geological makeup: the village 'el-Wad' is built on the banks of a large wadi called the White Wadi, the largest wadi in Tagant.",neutre,non
ethno,الگيطن فرص مهم للناس آل ساكن في ادشور لكبارات ،,الگيطن فرص مهم للناس ال ساكن في ادشور لكبارات ،,,"Its land is covered with stones, trees and palms, and has dunes, clay pans and small valleys.",neutre,non
ethno,والرحال آل في البادية للراحة .,والرحال ال في الباديه للراحه .,,"Its inhabitants number about 200 families, all Bidhan (white Moors), speaking Hassaniya and preserving many of the old nomadic customs.",positif,oui
ethno,آهل الدشر يستراح من جو الدشر و الحيات المانع، و الرحال,اهل الدشر يستراح من جو الدشر و الحيات المانع، و الرحال,,Their economy rests mainly on palm cultivation; every household has its own palm plot.,neutre,non
ethno,يستراح من التنگال من ابليد شور آخر.,يستراح من التنگال من ابليد شور اخر.,,"They grow wheat and vegetables and do the autumn farming when the rains come, the land becomes workable and the clay pans fill with water.",positif,oui
ethno,و يجابر كاملين في الوديان ال عادة فيهم انخل في تگانت,و يجابر كاملين في الوديان ال عاده فيهم انخل في تگانت,,Theft in Nouakchott.,negatif,non
ethno,و ادرار . و هاذ الناس ال اتج امگيطن ماه سيان : فيها شي,و ادرار . و هاذ الناس ال اتج امگيطن ماه سيان : فيها شي,,"Theft is a wretched phenomenon, rare in our nomadic society, but now common in Nouakchott, especially of late, with the appearance of the gangs called 'dekhel shi' (get-something gangs).",negatif,non
ethno,عند انخل و فيها شي الا گايس وحدين يعرفهم بانخلهم .,عند انخل و فيها شي الا گايس وحدين يعرفهم بانخلهم .,,"These 'get-something' gangs are groups containing all kinds of people, men and women, and come in every form.",negatif,non
ethno,والگيطن اتعود اعلى مرحلتين :,والگيطن اتعود اعلي مرحلتين :,,"Sometimes riding in cars, sometimes on motorbikes; mostly they are on motorbikes, armed, and carry everything they could need.",negatif,non
ethno,الگيطن الخظر وإعود فيها لبلح مازال اخظر و ماسخ و توكل,الگيطن الخظر واعود فيها لبلح مازال اخظر و ماسخ و توكل,,"One of the strangest tales ever: a shopkeeper stayed open past midnight, around one a.m., when an old woman came carrying a beggar's bag.",neutre,non
